;Cod_setor;lat;long;TIPO;income;longevity;literacy;population
401;352620905000008;-47.07914822944577;-23.925170486799637;URBANO;0.4689152899809113;0.7333333333333333;0.8980201623175748;1242.0
402;352620905000009;-47.07282087541844;-23.926231520959295;URBANO;0.5856527945437652;0.7333333333333333;0.9597542358191689;1134.0
403;352620905000010;-47.01317889685298;-23.95753833785904;URBANO;0.5097155519923373;0.7666666666666667;0.9497509069328116;828.0
404;352620905000011;-47.0382892128938;-23.954529416647087;URBANO;0.5031150551969711;0.7666666666666667;0.960952599556234;1017.0
405;352620905000012;-47.05755931551548;-23.96233733542618;URBANO;0.4870402522803257;0.7833333333333333;0.8911111111111111;254.0
406;352620905000013;-47.08527688589651;-23.95516734489279;URBANO;0.4570242479520171;0.65;0.9814814814814816;163.0
407;352620905000015;-47.0436368103591;-23.91635575848608;URBANO;0.5405067505538095;0.75;0.9558232931726908;112.0
408;352620905000016;-47.06876359189036;-23.940805869984665;URBANO;0.539254579492433;0.8;0.9692553336051094;599.0
409;352620905000017;-47.07351504473549;-23.921369319210534;URBANO;0.516467292650961;0.6666666666666666;0.9424767369156644;688.0
410;352620905000018;-46.9981501320892;-23.926340617460873;URBANO;0.5816021931510749;0.7666666666666667;0.9803921568627452;237.0
411;352620905000019;-47.0943887289;-23.940249530720315;URBANO;0.5415000265222432;0.75;0.9607843137254902;51.0
412;352620905000020;-47.107864263384265;-23.91703757886299;URBANO;0.5995035752246453;0.8;0.956190476190476;230.0
413;352620905000021;-47.02390442274769;-23.91003420015047;URBANO;0.50337794237641;0.6;0.8110355253212397;64.0
414;352620905000022;-47.01353203855044;-23.919831685495204;URBANO;0.5584803705657216;0.7833333333333333;0.9279327982700544;900.0
415;352620905000023;-46.977014545138374;-23.90859476716068;URBANO;0.5810878542724807;0.7833333333333333;0.9391980564864156;674.0
416;352620905000024;-47.00947585636052;-23.93118020974629;URBANO;0.5771067368070986;0.7833333333333333;0.9202642829382044;1037.0
417;352620905000025;-46.993275311974614;-23.939733155499535;URBANO;0.5515381634406915;0.7666666666666667;0.9387547892720306;984.0
418;352620905000026;-47.06855899420052;-23.930843323545258;URBANO;0.6506141462313787;0.8;0.9648464325463544;896.0
419;352620905000027;-47.098752999351895;-23.881200249796198;RURAL;0.5710385868766383;0.8166666666666667;0.9449053942884004;854.0
420;352620905000028;-47.05546635834096;-23.86179106603383;RURAL;0.4869296762436007;0.8;0.89623767807302;821.0
421;352620905000029;-47.033204810053014;-23.89114802159363;RURAL;0.5586482970537011;0.7833333333333333;0.9399714645754574;916.0
422;352620905000030;-46.958632779162684;-23.921407349729932;RURAL;0.6307412013515684;0.8;0.9317109979249198;226.0
423;352620905000031;-46.94435301220666;-23.95892987236343;RURAL;0.5391875989017267;0.8;0.8958916900093371;503.0
424;352620905000032;-46.871463543969114;-23.95701972774935;RURAL;0.4076570986546784;0.75;0.8018779342723005;99.0
425;352620905000033;-46.82960218374868;-23.94078153630264;RURAL;0.5166772347031717;0.7666666666666667;0.7520493984882359;155.0
426;352620905000035;-46.921309239415244;-23.994733630698853;RURAL;0.4797072874153898;0.8833333333333333;0.8671023965141611;83.0
427;352620905000036;-46.976529781800885;-24.013121374707534;RURAL;0.456182871840996;0.7166666666666667;0.9529271206690558;444.0
428;352620905000038;-47.01301678234083;-24.028745752650547;RURAL;0.4153350524713901;0.7333333333333333;0.924508240297714;118.0
429;352620905000039;-47.04063480169272;-23.99243567722121;RURAL;0.5141968636313946;0.7;0.9185094185094184;160.0
430;352620905000040;-47.06568671931419;-24.00304303840782;RURAL;0.5385247591486029;0.85;0.8886270402374095;272.0
431;352620905000041;-47.12977863270508;-23.909047610738117;RURAL;0.4101822368840061;0.7;0.9483830845771144;393.0
432;352620905000042;-46.97550858551125;-23.939504825573025;URBANO;0.5537490262944579;0.55;0.9077468230694036;124.0
433;352620905000043;-46.99509833257926;-23.898922061317077;URBANO;0.5642270220973792;0.7333333333333333;0.9688121625461776;349.0
434;352620910000001;-47.143647464474675;-23.9838608913762;URBANO;0.5117076631965474;0.75;0.9354895722870272;768.0
435;352620910000002;-47.14199648544367;-23.989606989141844;URBANO;0.5322260010114361;0.7166666666666667;0.9577564112684654;716.0
436;352620910000003;-47.15773303308588;-23.98016467750037;URBANO;0.528667136817896;0.75;0.9420021798725106;925.0
437;352620910000004;-47.138798406669096;-23.96592124700911;URBANO;0.3480461945106205;0.7666666666666667;0.9122511019911842;728.0
438;352620910000005;-47.11230488303398;-23.94596537916888;URBANO;0.6041996773214986;0.9;0.9186741088915;246.0
439;352620910000006;-47.09604322687595;-23.952200948337055;URBANO;0.4590666727655783;0.6;0.9047619047619048;26.0
440;352620910000007;-47.11502859858817;-23.967118574212513;URBANO;0.5296248226967466;0.7833333333333333;0.953216374269006;310.0
441;352620910000008;-47.13387643967755;-23.982883092751926;URBANO;0.44188659122253415;0.7666666666666667;0.9564651753133429;1054.0
442;352620910000009;-47.08816784767625;-23.989144722660022;RURAL;0.5467330767412271;0.7833333333333333;0.9045042177303836;284.0
443;352620910000010;-47.11853322221255;-23.99146866537519;RURAL;0.5695973649648681;0.7666666666666667;0.9765886287625416;403.0
444;352620910000011;-47.178614456963764;-23.97347809881303;RURAL;0.4433392964713435;0.8333333333333334;0.951923076923077;152.0
445;352620910000012;-47.1502183018335;-23.9441853068172;RURAL;0.5365766982026219;0.8;0.9369064531404708;601.0
446;352990605000001;-47.457062426202;-24.284388562050456;URBANO;0.6706708602176292;0.8333333333333334;0.9824619058573509;763.0
